@W: MO111 :"d:\practice\fic\component\work\fic\osc_0\fic_osc_0_osc.v":20:7:20:16|Tristate driver XTLOSC_O2F on net XTLOSC_O2F has its enable tied to GND (module FIC_OSC_0_OSC) 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[27\]\.gpin1[27] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[28\]\.gpin1[28] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[29\]\.gpin1[29] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[30\]\.gpin1[30] reduced to a combinational gate by constant propagation 
@W: MO171 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":297:12:297:17|Sequential instance CoreGPIO_0.xhdl1\.GEN_BITS\[31\]\.gpin1[31] reduced to a combinational gate by constant propagation 
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_both_213[15],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_neg_213[15]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_neg_219[15],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_both_219[15]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_both_381[27],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_neg_381[27]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_both_325[23],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_neg_325[23]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_both_283[20],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_neg_283[20]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_both_297[21],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_neg_297[21]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_neg_149[10],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_pos_149[10]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_neg_303[21],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.edge_pos_303[21]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_both_227[16],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_neg_227[16]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_neg_429[30],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_pos_429[30]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_neg_415[29],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_pos_415[29]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_both_129[9],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_neg_129[9]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_neg_107[7],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_pos_107[7]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_both_367[26],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_neg_367[26]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_both_241[17],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_neg_241[17]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_both_311[22],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_neg_311[22]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_both_409[29],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_pos_409[29]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_both_143[10],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[10].APB_32.edge_pos_143[10]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_both_339[24],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_neg_339[24]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_neg_121[8],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_pos_121[8]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_both_199[14],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_neg_199[14]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_both_185[13],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_neg_185[13]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_both_115[8],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.edge_pos_115[8]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_both_269[19],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_neg_269[19]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_neg_247[17],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_pos_247[17]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_both_353[25],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_neg_353[25]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_both_171[12],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_neg_171[12]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_both_157[11],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_neg_157[11]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_both_423[30],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_pos_423[30]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_neg_289[20],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.edge_pos_289[20]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_neg_233[16],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[16].APB_32.edge_pos_233[16]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_neg_359[25],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_pos_359[25]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_neg_191[13],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.edge_pos_191[13]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_neg_275[19],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[19].APB_32.edge_pos_275[19]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_neg_331[23],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_pos_331[23]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_neg_401[28],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_pos_401[28]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_neg_443[31],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_pos_443[31]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_both_395[28],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_pos_395[28]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_neg_317[22],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_pos_317[22]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_neg_163[11],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_pos_163[11]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_both_437[31],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[31].APB_32.edge_pos_437[31]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_both_101[7],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[7].APB_32.edge_pos_101[7]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":466:16:466:45|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_both_255[18],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_neg_255[18]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_neg[17],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[17].APB_32.edge_pos[17]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_both_345[24],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_neg_345[24]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_neg[22],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[22].APB_32.edge_pos[22]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_both_373[26],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_neg_373[26]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_neg[25],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[25].APB_32.edge_pos[25]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_both_401[28],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[28].APB_32.edge_pos_401[28]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_neg_205[14],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[14].APB_32.edge_pos_205[14]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_neg_373[26],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[26].APB_32.edge_pos_373[26]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_neg_135[9],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[9].APB_32.edge_pos_135[9]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_neg_387[27],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[27].APB_32.edge_pos_387[27]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_neg_177[12],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_pos_177[12]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_neg_345[24],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[24].APB_32.edge_pos_345[24]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":443:0:443:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_neg_261[18],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[18].APB_32.edge_pos_261[18]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_both_415[29],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[29].APB_32.edge_pos_415[29]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":456:0:456:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_both[15],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.edge_neg[15]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":463:0:463:1|Removing user instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_both_429[30],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[30].APB_32.edge_pos_429[30]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_neg[12],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[12].APB_32.edge_pos[12]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_neg[23],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[23].APB_32.edge_pos[23]
@W: BN132 :"d:\practice\fic\component\actel\directcore\coregpio\3.0.120\rtl\vlog\core\coregpio.v":436:0:436:5|Removing sequential instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_neg[11],  because it is equivalent to instance CoreGPIO_0.xhdl1.GEN_BITS[11].APB_32.edge_pos[11]
