pin,slack
CoreGPIO_0/xhdl1_GEN_BITS[28]_APB_32_INTR_reg_373_0_o2_0_0[28]:B,5824
CoreGPIO_0/xhdl1_GEN_BITS[28]_APB_32_INTR_reg_373_0_o2_0_0[28]:C,5779
CoreGPIO_0/xhdl1_GEN_BITS[28]_APB_32_INTR_reg_373_0_o2_0_0[28]:D,5562
CoreGPIO_0/xhdl1_GEN_BITS[28]_APB_32_INTR_reg_373_0_o2_0_0[28]:Y,5562
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:ALn,4749
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:CLK,4761
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:D,6971
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:EN,4733
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:Q,4761
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:SD,
reg_apb_wrp_0/reg16x8_0/mem_2_[4]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[20]_REG_GEN_CONFIG_reg[20]_RNIUUU31[0]:A,2792
CoreGPIO_0/xhdl1_GEN_BITS[20]_REG_GEN_CONFIG_reg[20]_RNIUUU31[0]:B,2749
CoreGPIO_0/xhdl1_GEN_BITS[20]_REG_GEN_CONFIG_reg[20]_RNIUUU31[0]:C,691
CoreGPIO_0/xhdl1_GEN_BITS[20]_REG_GEN_CONFIG_reg[20]_RNIUUU31[0]:D,31
CoreGPIO_0/xhdl1_GEN_BITS[20]_REG_GEN_CONFIG_reg[20]_RNIUUU31[0]:Y,31
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/FF_22:EN,
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:ALn,4749
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:CLK,4639
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:D,6927
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:EN,4733
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:Q,4639
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:SD,
reg_apb_wrp_0/reg16x8_0/mem_3_[6]:SLn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_238_rs_RNIQOHL:A,4885
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_238_rs_RNIQOHL:B,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_238_rs_RNIQOHL:C,4727
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_238_rs_RNIQOHL:Y,4727
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:ADn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:ALn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:CLK,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:D,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:EN,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:LAT,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:Q,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:SD,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_131_rs:SLn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:ADn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:ALn,4755
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:CLK,5059
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:D,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:EN,4733
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:LAT,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:Q,5059
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:SD,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_9_set:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:CLK,5743
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:D,6927
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:EN,3321
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:Q,5743
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_GPOUT_reg[6]:SLn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_12:A,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_12:B,4755
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_12:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_12:Y,4755
CoreGPIO_0/edge_both_2_sqmuxa_12_i_0:A,2171
CoreGPIO_0/edge_both_2_sqmuxa_12_i_0:B,7664
CoreGPIO_0/edge_both_2_sqmuxa_12_i_0:C,6650
CoreGPIO_0/edge_both_2_sqmuxa_12_i_0:Y,2171
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:CLK,3287
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:D,6971
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:EN,3484
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:Q,3287
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[25]_REG_GEN_CONFIG_reg[25][4]:SLn,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:A,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:B,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:C,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:IPA,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_152:IPB,
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:ALn,4749
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:CLK,4928
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:D,6829
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:EN,4733
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:Q,4928
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:SD,
reg_apb_wrp_0/reg16x8_0/mem_4_[1]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:CLK,3563
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:D,6895
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:EN,3510
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:Q,3563
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][5]:SLn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:ADn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:ALn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:CLK,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:D,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:EN,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:LAT,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:Q,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:SD,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_132_rs:SLn,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:ADn,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:ALn,4768
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:CLK,5960
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:D,6783
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:EN,4752
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:LAT,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:Q,5960
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:SD,
reg_apb_wrp_0/reg16x8_0/mem_10_[3]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[29]_APB_32_edge_both_RNO[29]:A,7838
CoreGPIO_0/xhdl1_GEN_BITS[29]_APB_32_edge_both_RNO[29]:B,6486
CoreGPIO_0/xhdl1_GEN_BITS[29]_APB_32_edge_both_RNO[29]:C,7720
CoreGPIO_0/xhdl1_GEN_BITS[29]_APB_32_edge_both_RNO[29]:Y,6486
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO_0[8]:A,4198
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO_0[8]:B,3022
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO_0[8]:C,6743
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO_0[8]:D,4480
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO_0[8]:Y,3022
reg_apb_wrp_0/rd_enable_RNO:A,6249
reg_apb_wrp_0/rd_enable_RNO:B,7729
reg_apb_wrp_0/rd_enable_RNO:Y,6249
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_109:A,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_109:B,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_109:C,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_109:IPA,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_105:A,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_105:B,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_105:C,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_105:IPA,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_105:IPB,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_147:A,6762
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_147:B,4749
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_147:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_147:Y,4749
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_100:A,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_100:B,4774
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_100:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_100:Y,4774
GPIO_OUT_obuf[4]/U0/U_IOPAD:D,
GPIO_OUT_obuf[4]/U0/U_IOPAD:E,
GPIO_OUT_obuf[4]/U0/U_IOPAD:PAD,
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:CLK,3544
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:D,6914
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:EN,3484
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:Q,3544
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[24]_REG_GEN_CONFIG_reg[24][0]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:CLK,4889
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:D,6829
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:EN,3510
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:Q,4889
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][1]:SLn,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_120:A,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_120:B,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_120:C,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_120:IPA,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_245:A,6762
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_245:B,4768
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_245:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_245:Y,4768
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_226:A,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_226:B,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_226:C,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_226:IPA,
FIC_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_226:IPB,
CoreGPIO_0/edge_neg_2_sqmuxa_11_i_0:A,2171
CoreGPIO_0/edge_neg_2_sqmuxa_11_i_0:B,7664
CoreGPIO_0/edge_neg_2_sqmuxa_11_i_0:C,6650
CoreGPIO_0/edge_neg_2_sqmuxa_11_i_0:Y,2171
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:CLK,6857
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:D,6177
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:EN,2171
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:Q,6857
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_edge_pos[15]:SLn,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_251:A,6762
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_251:B,4768
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_251:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_251:Y,4768
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:CLK,3812
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:D,6895
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:EN,3484
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:Q,3812
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][5]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:CLK,3630
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:D,6914
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:EN,3685
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:Q,3630
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][0]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_INTR_reg_87_0_0_0_tz[6]:A,6866
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_INTR_reg_87_0_0_0_tz[6]:B,6786
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_INTR_reg_87_0_0_0_tz[6]:C,5750
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_INTR_reg_87_0_0_0_tz[6]:D,4711
CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_INTR_reg_87_0_0_0_tz[6]:Y,4711
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:CLK,3684
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:D,6914
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:EN,3510
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:Q,3684
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][0]:SLn,
reg_apb_wrp_0/reg16x8_0/temp_data_2_15_i_11[3]:A,3046
reg_apb_wrp_0/reg16x8_0/temp_data_2_15_i_11[3]:B,2679
reg_apb_wrp_0/reg16x8_0/temp_data_2_15_i_11[3]:C,5709
reg_apb_wrp_0/reg16x8_0/temp_data_2_15_i_11[3]:D,3625
reg_apb_wrp_0/reg16x8_0/temp_data_2_15_i_11[3]:Y,2679
reg_apb_wrp_0/reg16x8_0/mem_2__RNIQB2N[6]:A,4921
reg_apb_wrp_0/reg16x8_0/mem_2__RNIQB2N[6]:B,
reg_apb_wrp_0/reg16x8_0/mem_2__RNIQB2N[6]:C,4761
reg_apb_wrp_0/reg16x8_0/mem_2__RNIQB2N[6]:Y,4761
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/FF_18:EN,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_76:A,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_76:B,4774
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_76:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_76:Y,4774
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_105:A,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_105:B,4774
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_105:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_105:Y,4774
CoreGPIO_0/edge_neg_2_sqmuxa_10_i_a2:A,6642
CoreGPIO_0/edge_neg_2_sqmuxa_10_i_a2:B,6595
CoreGPIO_0/edge_neg_2_sqmuxa_10_i_a2:Y,6595
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_25:B,7044
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_25:C,6945
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_25:IPB,7044
COREAPBLSRAM_0/genblk1_genblk1_lsram_512to35328x32_block0/block0/CFG_25:IPC,6945
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3]2_0_a4_0_a2:A,5824
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3]2_0_a4_0_a2:B,5897
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3]2_0_a4_0_a2:C,3510
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3]2_0_a4_0_a2:D,4066
CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3]2_0_a4_0_a2:Y,3510
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:ADn,
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:ALn,
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:CLK,3904
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:D,6818
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:EN,3685
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:LAT,
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:Q,3904
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:SD,
CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][2]:SLn,
CoreGPIO_0/xhdl1_GEN_BITS[0]_REG_GEN_CONFIG_reg[0]2_0_a4_0_o2:A,1785
CoreGPIO_0/xhdl1_GEN_BITS[0]_REG_GEN_CONFIG_reg[0]2_0_a4_0_o2:B,1558
CoreGPIO_0/xhdl1_GEN_BITS[0]_REG_GEN_CONFIG_reg[0]2_0_a4_0_o2:C,1445
CoreGPIO_0/xhdl1_GEN_BITS[0]_REG_GEN_CONFIG_reg[0]2_0_a4_0_o2:Y,1445
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO[24]:A,6929
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO[24]:B,6836
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO[24]:C,5044
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO[24]:D,4139
CoreAPB3_0/u_mux_p_to_b3/PRDATA_0_iv_RNO[24]:Y,4139
CoreGPIO_0/xhdl1_GEN_BITS[9]_REG_GEN_CONFIG_reg[9]_RNIIMU72[2]:A,3588
CoreGPIO_0/xhdl1_GEN_BITS[9]_REG_GEN_CONFIG_reg[9]_RNIIMU72[2]:B,3502
CoreGPIO_0/xhdl1_GEN_BITS[9]_REG_GEN_CONFIG_reg[9]_RNIIMU72[2]:C,-210
CoreGPIO_0/xhdl1_GEN_BITS[9]_REG_GEN_CONFIG_reg[9]_RNIIMU72[2]:D,792
CoreGPIO_0/xhdl1_GEN_BITS[9]_REG_GEN_CONFIG_reg[9]_RNIIMU72[2]:Y,-210
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_164:A,6762
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_164:B,4749
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_164:C,
reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_164:Y,4749
