Debug File version: Ver 1.0
Creator: Designer
Creator version: v11.5 SP3
Creator build: 11.5.3.10
External die name: M2S010
Package: 484 FBGA
Design Name: FIC
Probe A IO: available for probe A
Probe B IO: not available for probing
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_16_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_16_set:Q Type=0 ADDR=0x1C8108 (WADDR=0x1C BADDR=0x2 PRBR=0x1 CLOFFSET=0x8)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_192_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_192_rs:Q Type=0 ADDR=0x17020D (WADDR=0x17 BADDR=0x0 PRBR=0x2 CLOFFSET=0xD)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_89_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_89_set:Q Type=0 ADDR=0x110115 (WADDR=0x11 BADDR=0x0 PRBR=0x1 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/edge_neg[13]:CoreGPIO_0/xhdl1_GEN_BITS[13]_APB_32_edge_both[13]:Q Type=0 ADDR=0xC8314 (WADDR=0xC BADDR=0x2 PRBR=0x3 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/edge_neg[1]:CoreGPIO_0/xhdl1_GEN_BITS[1]_APB_32_edge_neg[1]:Q Type=0 ADDR=0xF0313 (WADDR=0xF BADDR=0x0 PRBR=0x3 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[19][5]:CoreGPIO_0/xhdl1_GEN_BITS[19]_REG_GEN_CONFIG_reg[19][5]:Q Type=0 ADDR=0xA0113 (WADDR=0xA BADDR=0x0 PRBR=0x1 CLOFFSET=0x13)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_75_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_75_set:Q Type=0 ADDR=0x240118 (WADDR=0x24 BADDR=0x0 PRBR=0x1 CLOFFSET=0x18)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[6][3]:CoreGPIO_0/xhdl1_GEN_BITS[6]_REG_GEN_CONFIG_reg[6][3]:Q Type=0 ADDR=0x48311 (WADDR=0x4 BADDR=0x2 PRBR=0x3 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_119_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_119_set:Q Type=0 ADDR=0x168117 (WADDR=0x16 BADDR=0x2 PRBR=0x1 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_10_rs[5]:reg_apb_wrp_0/reg16x8_0/mem_10_[5]:Q Type=0 ADDR=0x14010F (WADDR=0x14 BADDR=0x0 PRBR=0x1 CLOFFSET=0xF)
ProbePoint: Name=CoreGPIO_0/edge_pos[8]:CoreGPIO_0/xhdl1_GEN_BITS[8]_APB_32_edge_both[8]:Q Type=0 ADDR=0x4820F (WADDR=0x4 BADDR=0x2 PRBR=0x2 CLOFFSET=0xF)
ProbePoint: Name=CoreGPIO_0/edge_neg[17]:CoreGPIO_0/xhdl1_GEN_BITS[17]_APB_32_edge_both[17]:Q Type=0 ADDR=0xC0214 (WADDR=0xC BADDR=0x0 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[21][7]:CoreGPIO_0/xhdl1_GEN_BITS[21]_REG_GEN_CONFIG_reg[21][7]:Q Type=0 ADDR=0xD8115 (WADDR=0xD BADDR=0x2 PRBR=0x1 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[1][0]:CoreGPIO_0/xhdl1_GEN_BITS[1]_REG_GEN_CONFIG_reg[1][0]:Q Type=0 ADDR=0xA8117 (WADDR=0xA BADDR=0x2 PRBR=0x1 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_2_rs[2]:reg_apb_wrp_0/reg16x8_0/mem_2_[2]:Q Type=0 ADDR=0x230012 (WADDR=0x23 BADDR=0x0 PRBR=0x0 CLOFFSET=0x12)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_10_rs[4]:reg_apb_wrp_0/reg16x8_0/mem_10_[4]:Q Type=0 ADDR=0x13830C (WADDR=0x13 BADDR=0x2 PRBR=0x3 CLOFFSET=0xC)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[5][3]:CoreGPIO_0/xhdl1_GEN_BITS[5]_REG_GEN_CONFIG_reg[5][3]:Q Type=0 ADDR=0xE0215 (WADDR=0xE BADDR=0x0 PRBR=0x2 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_45_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_45_set:Q Type=0 ADDR=0x158216 (WADDR=0x15 BADDR=0x2 PRBR=0x2 CLOFFSET=0x16)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_1_rs[0]:reg_apb_wrp_0/reg16x8_0/mem_1_[0]:Q Type=0 ADDR=0x1A0116 (WADDR=0x1A BADDR=0x0 PRBR=0x1 CLOFFSET=0x16)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_9_rs[6]:reg_apb_wrp_0/reg16x8_0/mem_9_[6]:Q Type=0 ADDR=0x198017 (WADDR=0x19 BADDR=0x2 PRBR=0x0 CLOFFSET=0x17)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_3_rs[3]:reg_apb_wrp_0/reg16x8_0/mem_3_[3]:Q Type=0 ADDR=0x128010 (WADDR=0x12 BADDR=0x2 PRBR=0x0 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[13][3]:CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][3]:Q Type=0 ADDR=0xC8114 (WADDR=0xC BADDR=0x2 PRBR=0x1 CLOFFSET=0x14)
ProbePoint: Name=COREAPBLSRAM_0.PRDATA_reg[30]:COREAPBLSRAM_0/PRDATA_reg[30]:Q Type=0 ADDR=0x58013 (WADDR=0x5 BADDR=0x2 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[15][6]:CoreGPIO_0/xhdl1_GEN_BITS[15]_REG_GEN_CONFIG_reg[15][6]:Q Type=0 ADDR=0x38313 (WADDR=0x3 BADDR=0x2 PRBR=0x3 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[11][5]:CoreGPIO_0/xhdl1_GEN_BITS[11]_REG_GEN_CONFIG_reg[11][5]:Q Type=0 ADDR=0xA8214 (WADDR=0xA BADDR=0x2 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_0_rs[1]:reg_apb_wrp_0/reg16x8_0/mem_0_[1]:Q Type=0 ADDR=0x20020D (WADDR=0x20 BADDR=0x0 PRBR=0x2 CLOFFSET=0xD)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_160_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_160_rs:Q Type=0 ADDR=0x140112 (WADDR=0x14 BADDR=0x0 PRBR=0x1 CLOFFSET=0x12)
ProbePoint: Name=CoreGPIO_0/edge_pos[7]:CoreGPIO_0/xhdl1_GEN_BITS[7]_APB_32_edge_both[7]:Q Type=0 ADDR=0x20112 (WADDR=0x2 BADDR=0x0 PRBR=0x1 CLOFFSET=0x12)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[13].APB_32.INTR_reg[13]:CoreGPIO_0/xhdl1_GEN_BITS[13]_APB_32_INTR_reg[13]:Q Type=0 ADDR=0xC0112 (WADDR=0xC BADDR=0x0 PRBR=0x1 CLOFFSET=0x12)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[31][5]:CoreGPIO_0/xhdl1_GEN_BITS[31]_REG_GEN_CONFIG_reg[31][5]:Q Type=0 ADDR=0x28013 (WADDR=0x2 BADDR=0x2 PRBR=0x0 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[20].APB_32.GPOUT_reg[20]:CoreGPIO_0/xhdl1_GEN_BITS[20]_APB_32_GPOUT_reg[20]:Q Type=0 ADDR=0x80311 (WADDR=0x8 BADDR=0x0 PRBR=0x3 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.GPOUT_reg[8]:CoreGPIO_0/xhdl1_GEN_BITS[8]_APB_32_GPOUT_reg[8]:Q Type=0 ADDR=0x60214 (WADDR=0x6 BADDR=0x0 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_159_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_159_rs:Q Type=0 ADDR=0x158115 (WADDR=0x15 BADDR=0x2 PRBR=0x1 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[6][6]:CoreGPIO_0/xhdl1_GEN_BITS[6]_REG_GEN_CONFIG_reg[6][6]:Q Type=0 ADDR=0x48111 (WADDR=0x4 BADDR=0x2 PRBR=0x1 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_15_rs[1]:reg_apb_wrp_0/reg16x8_0/mem_15_[1]:Q Type=0 ADDR=0x188214 (WADDR=0x18 BADDR=0x2 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=CoreAPB3_0_APBmslave3_PRDATA[7]:reg_apb_wrp_0/reg16x8_0/data_out[7]:Q Type=0 ADDR=0x88011 (WADDR=0x8 BADDR=0x2 PRBR=0x0 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[19][4]:CoreGPIO_0/xhdl1_GEN_BITS[19]_REG_GEN_CONFIG_reg[19][4]:Q Type=0 ADDR=0x78215 (WADDR=0x7 BADDR=0x2 PRBR=0x2 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_15_rs[7]:reg_apb_wrp_0/reg16x8_0/mem_15_[7]:Q Type=0 ADDR=0x200110 (WADDR=0x20 BADDR=0x0 PRBR=0x1 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[15].APB_32.INTR_reg[15]:CoreGPIO_0/xhdl1_GEN_BITS[15]_APB_32_INTR_reg[15]:Q Type=0 ADDR=0x48212 (WADDR=0x4 BADDR=0x2 PRBR=0x2 CLOFFSET=0x12)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[5][6]:CoreGPIO_0/xhdl1_GEN_BITS[5]_REG_GEN_CONFIG_reg[5][6]:Q Type=0 ADDR=0xC0115 (WADDR=0xC BADDR=0x0 PRBR=0x1 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0/edge_both[6]:CoreGPIO_0/xhdl1_GEN_BITS[6]_APB_32_edge_both[6]:Q Type=0 ADDR=0x38311 (WADDR=0x3 BADDR=0x2 PRBR=0x3 CLOFFSET=0x11)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[28][7]:CoreGPIO_0/xhdl1_GEN_BITS[28]_REG_GEN_CONFIG_reg[28][7]:Q Type=0 ADDR=0x68316 (WADDR=0x6 BADDR=0x2 PRBR=0x3 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[13][4]:CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][4]:Q Type=0 ADDR=0xB8114 (WADDR=0xB BADDR=0x2 PRBR=0x1 CLOFFSET=0x14)
ProbePoint: Name=COREAPBLSRAM_0.PRDATA_reg[6]:COREAPBLSRAM_0/PRDATA_reg[6]:Q Type=0 ADDR=0x88110 (WADDR=0x8 BADDR=0x2 PRBR=0x1 CLOFFSET=0x10)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_173_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_173_rs:Q Type=0 ADDR=0x21010C (WADDR=0x21 BADDR=0x0 PRBR=0x1 CLOFFSET=0xC)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[18][2]:CoreGPIO_0/xhdl1_GEN_BITS[18]_REG_GEN_CONFIG_reg[18][2]:Q Type=0 ADDR=0xA0316 (WADDR=0xA BADDR=0x0 PRBR=0x3 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[23][7]:CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][7]:Q Type=0 ADDR=0x30214 (WADDR=0x3 BADDR=0x0 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[3][0]:CoreGPIO_0/xhdl1_GEN_BITS[3]_REG_GEN_CONFIG_reg[3][0]:Q Type=0 ADDR=0x70015 (WADDR=0x7 BADDR=0x0 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_5_rs[0]:reg_apb_wrp_0/reg16x8_0/mem_5_[0]:Q Type=0 ADDR=0x170109 (WADDR=0x17 BADDR=0x0 PRBR=0x1 CLOFFSET=0x9)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[21].APB_32.INTR_reg[21]:CoreGPIO_0/xhdl1_GEN_BITS[21]_APB_32_INTR_reg[21]:Q Type=0 ADDR=0x68014 (WADDR=0x6 BADDR=0x2 PRBR=0x0 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[13][6]:CoreGPIO_0/xhdl1_GEN_BITS[13]_REG_GEN_CONFIG_reg[13][6]:Q Type=0 ADDR=0xB8214 (WADDR=0xB BADDR=0x2 PRBR=0x2 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[8][3]:CoreGPIO_0/xhdl1_GEN_BITS[8]_REG_GEN_CONFIG_reg[8][3]:Q Type=0 ADDR=0x50310 (WADDR=0x5 BADDR=0x0 PRBR=0x3 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[5].APB_32.INTR_reg[5]:CoreGPIO_0/xhdl1_GEN_BITS[5]_APB_32_INTR_reg[5]:Q Type=0 ADDR=0xF0215 (WADDR=0xF BADDR=0x0 PRBR=0x2 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_14_rs[0]:reg_apb_wrp_0/reg16x8_0/mem_14_[0]:Q Type=0 ADDR=0x200216 (WADDR=0x20 BADDR=0x0 PRBR=0x2 CLOFFSET=0x16)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_28_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_28_set:Q Type=0 ADDR=0x1C8015 (WADDR=0x1C BADDR=0x2 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_12_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_12_set:Q Type=0 ADDR=0x1B821A (WADDR=0x1B BADDR=0x2 PRBR=0x2 CLOFFSET=0x1A)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[26][5]:CoreGPIO_0/xhdl1_GEN_BITS[26]_REG_GEN_CONFIG_reg[26][5]:Q Type=0 ADDR=0xA8310 (WADDR=0xA BADDR=0x2 PRBR=0x3 CLOFFSET=0x10)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_9_rs[3]:reg_apb_wrp_0/reg16x8_0/mem_9_[3]:Q Type=0 ADDR=0x250218 (WADDR=0x25 BADDR=0x0 PRBR=0x2 CLOFFSET=0x18)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_200_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_200_rs:Q Type=0 ADDR=0x10800E (WADDR=0x10 BADDR=0x2 PRBR=0x0 CLOFFSET=0xE)
ProbePoint: Name=CoreGPIO_0/gpin1[6]:CoreGPIO_0/xhdl1_GEN_BITS[6]_gpin1[6]:Q Type=0 ADDR=0x28311 (WADDR=0x2 BADDR=0x2 PRBR=0x3 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_4_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_4_set:Q Type=0 ADDR=0x22810D (WADDR=0x22 BADDR=0x2 PRBR=0x1 CLOFFSET=0xD)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[23][2]:CoreGPIO_0/xhdl1_GEN_BITS[23]_REG_GEN_CONFIG_reg[23][2]:Q Type=0 ADDR=0x30114 (WADDR=0x3 BADDR=0x0 PRBR=0x1 CLOFFSET=0x14)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/mem_15_rs[6]:reg_apb_wrp_0/reg16x8_0/mem_15_[6]:Q Type=0 ADDR=0x1E8114 (WADDR=0x1E BADDR=0x2 PRBR=0x1 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[12][3]:CoreGPIO_0/xhdl1_GEN_BITS[12]_REG_GEN_CONFIG_reg[12][3]:Q Type=0 ADDR=0x60116 (WADDR=0x6 BADDR=0x0 PRBR=0x1 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[0][2]:CoreGPIO_0/xhdl1_GEN_BITS[0]_REG_GEN_CONFIG_reg[0][2]:Q Type=0 ADDR=0x48016 (WADDR=0x4 BADDR=0x2 PRBR=0x0 CLOFFSET=0x16)
ProbePoint: Name=CoreGPIO_0/edge_pos[29]:CoreGPIO_0/xhdl1_GEN_BITS[29]_APB_32_edge_both[29]:Q Type=0 ADDR=0xD0015 (WADDR=0xD BADDR=0x0 PRBR=0x0 CLOFFSET=0x15)
ProbePoint: Name=CoreGPIO_0.xhdl1.GEN_BITS[8].APB_32.INTR_reg[8]:CoreGPIO_0/xhdl1_GEN_BITS[8]_APB_32_INTR_reg[8]:Q Type=0 ADDR=0x88213 (WADDR=0x8 BADDR=0x2 PRBR=0x2 CLOFFSET=0x13)
ProbePoint: Name=CoreGPIO_0/edge_neg[14]:CoreGPIO_0/xhdl1_GEN_BITS[14]_APB_32_edge_both[14]:Q Type=0 ADDR=0x60011 (WADDR=0x6 BADDR=0x0 PRBR=0x0 CLOFFSET=0x11)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_87_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_87_set:Q Type=0 ADDR=0x1D000E (WADDR=0x1D BADDR=0x0 PRBR=0x0 CLOFFSET=0xE)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_230_rs:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_230_rs:Q Type=0 ADDR=0x1D020A (WADDR=0x1D BADDR=0x0 PRBR=0x2 CLOFFSET=0xA)
ProbePoint: Name=reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_108_set:reg_apb_wrp_0/reg16x8_0/un1_mem_0_5_108_set:Q Type=0 ADDR=0x248010 (WADDR=0x24 BADDR=0x2 PRBR=0x0 CLOFFSET=0x10)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[27][7]:CoreGPIO_0/xhdl1_GEN_BITS[27]_REG_GEN_CONFIG_reg[27][7]:Q Type=0 ADDR=0xA0014 (WADDR=0xA BADDR=0x0 PRBR=0x0 CLOFFSET=0x14)
ProbePoint: Name=CoreGPIO_0/CONFIG_reg[1][3]:CoreGPIO_0/xhdl1_GEN_BITS[1]_REG_GEN_CONFIG_reg[1][3]:Q Type=0 ADDR=0xE0214 (WADDR=0xE BADDR=0x0 PRBR=0x2 CLOFFSET=0x14)
